Taraget,Tree Name,Insert Time (µs),Search Time (µs),Success Count,Failed Count,Accuracy, Input Count, Test Count
acc_fail_1,BinarySearchTree,80605,88601,1,97215,1.02864e-05, 97216, 97216
acc_fail_1,SplayTree,165739,72053,1,97215,1.02864e-05, 97216, 97216
acc_fail_1,Treap,92351,92790,1,97215,1.02864e-05, 97216, 97216
acc_fail_1,2-3 Tree,291815,173865,1,97215,1.02864e-05, 97216, 97216
acc_fail_2,BinarySearchTree,80279,73490,24305,72911,0.25001, 97216, 97216
acc_fail_2,SplayTree,129600,66219,24305,72911,0.25001, 97216, 97216
acc_fail_2,Treap,87231,82463,24305,72911,0.25001, 97216, 97216
acc_fail_2,2-3 Tree,284382,156413,24305,72911,0.25001, 97216, 97216
acc_fail_3,BinarySearchTree,77228,59984,48608,48608,0.5, 97216, 97216
acc_fail_3,SplayTree,120559,66271,48608,48608,0.5, 97216, 97216
acc_fail_3,Treap,88327,81190,48608,48608,0.5, 97216, 97216
acc_fail_3,2-3 Tree,278238,138726,48608,48608,0.5, 97216, 97216
acc_fail_4,BinarySearchTree,77588,51003,72912,24304,0.75, 97216, 97216
acc_fail_4,SplayTree,121502,63991,72912,24304,0.75, 97216, 97216
acc_fail_4,Treap,87558,80951,72912,24304,0.75, 97216, 97216
acc_fail_4,2-3 Tree,281065,125692,72912,24304,0.75, 97216, 97216
acc_fail_5,BinarySearchTree,82187,40869,97216,0,1, 97216, 97216
acc_fail_5,SplayTree,122070,59477,97216,0,1, 97216, 97216
acc_fail_5,Treap,88990,76421,97216,0,1, 97216, 97216
acc_fail_5,2-3 Tree,288144,106685,97216,0,1, 97216, 97216
